,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 672.5)","(675.5, 762.5)","(763.5, 1170.5)","(1171.5, 1333.5)","(1334.5, 1561.5)","(1562.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,234.0,87.0,407.0,162.0,227.0,482.0,300.0
Number of epochs,372,200,74,348,131,201,420,271
