,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 646.5)","(647.5, 959.5)","(960.5, 1175.5)","(1176.5, 1386.5)","(1387.5, 1720.5)","(1721.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",401.0,234.0,312.0,215.0,210.0,333.0,380.0,243.0
Number of epochs,348,200,262,189,173,292,331,222
