,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 126.5)","(127.5, 395.5)","(396.5, 598.5)","(599.5, 1046.5)","(1047.5, 1320.5)","(1321.5, 1670.5)","(1671.5, 2769.5)","(2771.5, 2996.5)","(2997.5, 3092.5)","(3093.5, 3593.5)","(3594.5, 4261.5)","(4262.5, 4996.5)"
"Time length, sec",113.0,268.0,202.0,447.0,273.0,349.0,1098.0,225.0,95.0,500.0,667.0,734.0
Number of epochs,107,256,195,433,265,331,1043,220,90,486,646,686
