,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 677.5)","(678.5, 762.5)","(763.5, 1171.5)","(1172.5, 1321.5)","(1323.5, 1561.5)","(1562.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,239.0,84.0,408.0,149.0,238.0,482.0,300.0
Number of epochs,372,203,71,349,120,211,420,271
