,0,1,2,3,4,5,6,7
"Start-end time, sec","(np.float64(10.5), np.float64(237.5))","(np.float64(238.5), np.float64(413.5))","(np.float64(414.5), np.float64(593.5))","(np.float64(596.5), np.float64(991.5))","(np.float64(992.5), np.float64(1272.5))","(np.float64(1273.5), np.float64(1389.5))","(np.float64(1390.5), np.float64(2101.5))","(np.float64(2102.5), np.float64(2345.5))"
"Time length, sec",227.0,175.0,179.0,395.0,280.0,116.0,711.0,243.0
Number of epochs,201,149,157,331,238,98,621,222
