,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 234.5)","(235.5, 465.5)","(467.5, 624.5)","(625.5, 996.5)","(997.5, 1328.5)","(1329.5, 1573.5)","(1576.5, 2108.5)","(2110.5, 2348.5)"
"Time length, sec",224.0,230.0,157.0,371.0,331.0,244.0,532.0,238.0
Number of epochs,199,199,133,312,278,217,464,217
