,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(21.5, 153.5)","(154.5, 364.5)","(365.5, 433.5)","(434.5, 534.5)","(535.5, 962.5)","(963.5, 1014.5)","(1015.5, 1102.5)","(1103.5, 1204.5)","(1205.5, 1451.5)"
"Time length, sec",132.0,210.0,68.0,100.0,427.0,51.0,87.0,101.0,246.0
Number of epochs,120,197,63,94,408,45,88,98,230
