,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 593.5)","(596.5, 853.5)","(854.5, 1079.5)","(1081.5, 1323.5)","(1324.5, 1777.5)","(1779.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",401.0,181.0,257.0,225.0,242.0,453.0,322.0,243.0
Number of epochs,348,159,215,193,201,394,285,222
