,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 116.5)","(117.5, 227.5)","(231.5, 516.5)","(517.5, 582.5)","(583.5, 770.5)","(771.5, 952.5)","(953.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1250.5)","(1251.5, 1304.5)"
"Time length, sec",108.0,110.0,285.0,65.0,187.0,181.0,106.0,95.0,94.0,53.0
Number of epochs,103,100,255,52,174,170,95,90,90,51
