,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 116.5)","(117.5, 243.5)","(244.5, 770.5)","(771.5, 927.5)","(928.5, 989.5)","(990.5, 1059.5)","(1060.5, 1178.5)","(1179.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,54.0,126.0,526.0,156.0,61.0,69.0,118.0,59.0,65.0
Number of epochs,52,51,113,468,145,56,64,109,59,63
