,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 96.5)","(97.5, 219.5)","(220.5, 297.5)","(298.5, 697.5)","(698.5, 767.5)","(768.5, 919.5)","(920.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",88.0,122.0,77.0,399.0,69.0,151.0,139.0,96.0,77.0,65.0
Number of epochs,83,112,68,355,63,141,127,91,77,63
