,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 107.5)","(108.5, 232.5)","(233.5, 393.5)","(394.5, 442.5)","(443.5, 812.5)","(813.5, 879.5)","(880.5, 985.5)","(986.5, 1043.5)","(1044.5, 1115.5)","(1116.5, 1232.5)","(1233.5, 1334.5)"
"Time length, sec",102.0,124.0,160.0,48.0,369.0,66.0,105.0,57.0,71.0,116.0,101.0
Number of epochs,97,121,156,44,352,63,101,54,69,111,96
