,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,0,50,15,3,Mode,"[0, 191, 558, 1046]",124815.27146111618,27.877206542309644,0.10762106413104124,230.16491923466108,2.478744684467092,0.20107527280179896,195.28907688096308,2.163487835194822,0.5623644017207381,0.31685999031963324,0.511961357985698
1,0,35,10,4,Mode,"[0, 282, 682, 857, 1046]",124224.61358757348,28.581413193607116,0.09426132487842015,178.8214799929086,3.635090588895148,0.19435781167593394,176.33608571549158,1.8907699846304737,0.7844431497785513,0.6079253822753551,0.7197840834864344
2,40,45,10,5,Median,"[0, 210, 558, 681, 856, 1046]",114827.94566446978,33.7811757782676,0.10264877838083096,190.46315171770016,2.3680708274688973,0.27030835878140014,195.59377050214837,1.4411654348983753,0.7689873095508837,0.5834949569653235,0.6729903526283446
3,60,40,15,6,Median,"[0, 210, 554, 682, 856, 976, 1046]",104852.82404485405,34.640801762851154,0.07593162833822105,174.7063709286479,3.408385927136193,0.28094351869763934,180.2162139844635,1.3329749448771813,0.806956651595818,0.6231068087422084,0.6988107995053874
4,0,35,15,7,Mode,"[0, 38, 210, 558, 682, 857, 977, 1046]",84728.9293145989,33.01641780326893,0.043028506266757145,156.014889640072,3.196046198823869,0.2595100942816694,147.3901174327411,1.3746176951055296,0.8384551547415834,0.6518112598025403,0.7187430981835867
5,20,35,10,8,Mode,"[0, 38, 168, 282, 558, 682, 857, 976, 1046]",59792.568833944686,29.487496753893367,0.050964061254794066,147.67404527511584,3.154278765512677,0.23581180251191264,108.92633252750308,1.5472620310440046,0.88664674823725,0.7387924319753139,0.7787544553842489
6,60,45,20,9,Median,"[0, 186, 282, 490, 558, 682, 788, 857, 977, 1046]",42751.56557808595,28.075090518437243,0.06425192530978947,142.24616878049648,3.1543448009803177,0.2338082484317207,85.13347957922761,1.5821834147069656,0.9204648556321192,0.8324458627652669,0.8566415975454089
7,20,45,20,10,Median,"[0, 46, 191, 282, 490, 558, 682, 789, 857, 977, 1046]",38840.313688264025,27.302110622158605,0.05722104897388772,134.53695220441284,3.035762394201744,0.22384201426268005,77.73917196100427,1.6179282307262473,0.9321661188756013,0.8631034709697334,0.8854331321402839
8,40,45,15,11,Mode,"[0, 44, 191, 210, 282, 486, 558, 682, 789, 857, 977, 1046]",32415.110261868966,25.980457858697456,0.04988674326674188,123.1122802408715,3.021959232192867,0.20803151976448228,65.33194791635755,1.7188815920674752,0.9183693648241297,0.8449069016425789,0.870480769940329
9,60,40,20,12,Mean,"[0, 92, 169, 207, 237, 281, 489, 557, 681, 786, 857, 974, 1046]",28555.927230799614,24.574958335418614,0.04543767913766801,112.85351806440485,3.0707704515958,0.19666033061995566,57.94342815836572,1.8254449670385648,0.8768845353192426,0.7702070960699626,0.8079111411509643
10,60,45,20,13,Mode,"[0, 77, 154, 191, 210, 239, 277, 486, 558, 682, 789, 857, 977, 1046]",26205.756777528004,23.79227951212731,0.03780256429050711,105.1821223460445,3.066300819908878,0.1923622047770458,53.11234324686774,1.9000191881784234,0.8632040462091258,0.7545646547856178,0.7946114752713765
11,40,35,15,14,Median,"[0, 44, 90, 168, 210, 239, 282, 486, 558, 607, 682, 789, 857, 976, 1046]",22027.06659047245,23.265714596912783,0.02902565799283887,101.86222277736802,3.087176668308419,0.18943115256695897,47.848326163574015,1.916943485790605,0.8720622003308688,0.7442917070071914,0.7908714652847528
12,40,45,20,15,Median,"[0, 46, 90, 168, 210, 239, 282, 490, 558, 607, 682, 789, 857, 929, 977, 1046]",19720.60986587868,22.914235302804535,0.029035378931438375,96.93744268227006,3.050200787346486,0.18562695720004294,44.031173237600676,1.975558680697792,0.8589535899851358,0.7169947688450292,0.7698655046005362
13,40,35,20,16,Median,"[0, 44, 90, 168, 210, 239, 282, 349, 490, 558, 607, 682, 789, 857, 929, 976, 1046]",18444.844563165163,22.155955058990912,0.027562743875010367,92.95819324267492,3.0410410581005953,0.17984219688783418,41.56504235938816,2.057116782718477,0.8392555687581242,0.6135455210728522,0.690281476730644
