,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 593.5)","(596.5, 850.5)","(851.5, 1066.5)","(1067.5, 1334.5)","(1335.5, 1720.5)","(1721.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",401.0,181.0,254.0,215.0,267.0,385.0,380.0,243.0
Number of epochs,348,159,212,184,223,338,331,222
