Stat,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
max,1030.2177589852008,1.305917170339249,0.3246416596759224,0.4488304856397785,0.14853259366406985,2823.103594080338,2605.002114164905,218.1014799154334
std,1025.014799154334,1.3639521101375174,0.34070888665648136,0.4096806873891765,0.13230001212889728,2714.4651162790697,2755.4355179704016,-40.97040169133192
norm-2,1030.2410147991543,1.528388756566972,0.3862338916153525,0.5564501423015876,0.1931546589009763,2319.949260042283,2235.044397463002,84.90486257928119
norm-1,1030.2325581395348,1.593651502041274,0.40430216821829185,0.5626843833811981,0.1957395464650685,2170.3171247357295,2280.632135306554,-110.31501057082453
sum,1030.2325581395348,1.593651502041274,0.40430216821829185,0.5626843833811981,0.1957395464650685,2170.2241014799156,2280.5983086680762,-110.37420718816068
mean,1030.2410147991543,1.6450246237229946,0.4185250417084562,0.5393954883753851,0.18608333100704585,2094.4122621564484,2214.016913319239,-119.6046511627907
