Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
silhouette-2,1017.9240506329114,1.6440193447688405,0.41824672583199773,0.38795322182609565,0.12329120819974958,2104.4852320675104,2896.0569620253164,-791.5717299578059
silhouette-1,1017.9240506329114,1.6657584484675476,0.4242652917975207,0.40107452827523016,0.12873166220720503,2052.799578059072,2804.4113924050635,-751.6118143459915
amplitude-silhouette-2-2,1031.8598726114649,1.5520875344184695,0.3927950019434657,0.43758300402216627,0.14386907889307254,2279.184713375796,2564.7834394904457,-285.5987261146497
landscape,1017.915611814346,1.5477445087573163,0.3915926162888463,0.445008925059543,0.14694806969505242,2276.4514767932487,2632.5611814345993,-356.1097046413502
amplitude-silhouette-2-1,1031.8598726114649,1.554821671546351,0.3935519597689127,0.45382510687094074,0.15060350079501264,2282.0318471337578,2442.1146496815286,-160.0828025477707
amplitude-silhouette-1-2,1031.8598726114649,1.8063828868618264,0.4631977827856808,0.46318860089054636,0.15448586256746474,1752.0828025477706,2399.770700636943,-647.687898089172
entropy,1025.2911392405063,0.8144815225796543,0.18858555060889817,0.4667800686154354,0.1559749837195592,3806.0759493670885,2852.4177215189875,953.6582278481013
amplitude-bottleneck,1043.4012738853503,1.345821228725506,0.3356892728166635,0.47725513719938567,0.16031823483383234,2693.43949044586,2336.5286624203823,356.9108280254777
amplitude-silhouette-1-1,1031.8598726114649,1.790398316962829,0.4587723846781521,0.4809634877409291,0.1618558188116931,1745.9745222929937,2279.522292993631,-533.547770700637
amplitude-landscape-2-1,1031.8598726114649,1.5418947979363478,0.38997309825612597,0.504922778852684,0.17178999890649127,2259.3248407643314,2174.605095541401,84.71974522292993
amplitude-landscape-1-1,1031.8598726114649,1.7305995295636412,0.44221682877261115,0.5112494018560004,0.17441319055325927,1879.1019108280254,2152.522292993631,-273.4203821656051
amplitude-landscape-2-2,1031.8598726114649,1.5347115496753474,0.3879843845490319,0.5242945113631281,0.1798220512159435,2257.477707006369,2058.815286624204,198.6624203821656
amplitude-landscape-1-2,1031.8598726114649,1.7304236219869136,0.44216812799041494,0.5367778599550095,0.18499799037538936,1819.095541401274,2026.0,-206.9044585987261
life,1040.8446327683616,1.3665019748153884,0.3414148278479682,0.5608649073018873,0.19498514171387027,2636.6271186440677,2143.9957627118642,492.6313559322034
amplitude-wasserstein-2,1043.4522292993631,1.500688138301005,0.3785648542608175,0.6215876965744027,0.2201624777910504,2286.6942675159235,1774.5987261146497,512.0955414012739
bd2,1040.8629943502824,1.4145735171742924,0.3547236446585115,0.6704582718015947,0.24042556042478988,2604.5423728813557,1877.8954802259886,726.6468926553672
amplitude-wasserstein-1,1043.4331210191083,1.438256658355765,0.3612804259061195,0.6943511933844685,0.25033222189019133,2469.611464968153,1758.8535031847134,710.7579617834394
