Feature,IV,IVs
channel-0 landscape dim-1 max,0.4997119636524364,"[0.30247018607465814, 0.3941604019194491, 0.2646509417478487, 0.15152238982894456, 1.250142412815932, 0.4584648880161917, 0.23271265805780228, 0.9570582606707416, 0.48622553374036004]"
channel-0 landscape dim-1 mean,0.5019065771675115,"[0.2750562810967909, 0.45739458795732646, 0.6121779295282583, 0.09791393117859118, 1.2706268110733259, 0.3776231036705029, 0.21774381972061838, 0.850601909453057, 0.35802082082913333]"
channel-0 landscape dim-1 std,0.5222255999508316,"[0.291150458935114, 0.44600395496949335, 0.5241672565555298, 0.10844333034863932, 1.2688577979502988, 0.3965172545063457, 0.24128587173575447, 1.017061293254995, 0.4065431813013143]"
channel-0 landscape dim-1 sum,0.5019065771675115,"[0.2750562810967909, 0.45739458795732646, 0.6121779295282583, 0.09791393117859118, 1.2706268110733259, 0.3776231036705029, 0.21774381972061838, 0.850601909453057, 0.35802082082913333]"
channel-0 landscape dim-1 norm-1,0.5019065771675115,"[0.2750562810967909, 0.45739458795732646, 0.6121779295282583, 0.09791393117859118, 1.2706268110733259, 0.3776231036705029, 0.21774381972061838, 0.850601909453057, 0.35802082082913333]"
channel-0 landscape dim-1 norm-2,0.5203843297575564,"[0.28763638874087966, 0.450945135603469, 0.5247158727510948, 0.10927952380938581, 1.315544824220912, 0.3921867904127555, 0.24128587173575447, 0.9801113598748341, 0.38175320066892215]"
channel-0 landscape dim-2 max,0.18296868252045384,"[0.1286033402145177, 0.1429156717584055, 0.044166060144655496, 0.05257062931255403, 0.5131825418931205, 0.16337219656266752, 0.19322378374694635, 0.24630658712020026, 0.16237733193101705]"
channel-0 landscape dim-2 mean,0.18571596650248046,"[0.16977775778368018, 0.08251160228131119, 0.06144366673166468, 0.04200124431726589, 0.6468006228312697, 0.14375748507099523, 0.10401366982109414, 0.23917295679545703, 0.18196469288958586]"
channel-0 landscape dim-2 std,0.1727195803706352,"[0.08156606741145034, 0.15415572402247213, 0.054210160807125776, 0.0616636203554673, 0.5619661935033147, 0.12271998883906876, 0.13824344018638582, 0.18576781595837683, 0.19418321225205526]"
channel-0 landscape dim-2 sum,0.18571596650248046,"[0.16977775778368018, 0.08251160228131119, 0.06144366673166468, 0.04200124431726589, 0.6468006228312697, 0.14375748507099523, 0.10401366982109414, 0.23917295679545703, 0.18196469288958586]"
channel-0 landscape dim-2 norm-1,0.18571596650248046,"[0.16977775778368018, 0.08251160228131119, 0.06144366673166468, 0.04200124431726589, 0.6468006228312697, 0.14375748507099523, 0.10401366982109414, 0.23917295679545703, 0.18196469288958586]"
channel-0 landscape dim-2 norm-2,0.16765877048914998,"[0.08156606741145034, 0.13644244893312696, 0.04936021230708164, 0.06277232856351098, 0.5600802464446855, 0.12586805826794606, 0.1164382588261269, 0.18221810139636618, 0.19418321225205526]"
channel-0 silhouette-1 dim-1 max,0.5680373732522995,"[0.36736523708498825, 0.25536699188644124, 0.33711799547842597, 0.17495818100841318, 1.6085337263017805, 0.37034597844142814, 0.6136185856682242, 0.9106291621752571, 0.47440050122573774]"
channel-0 silhouette-1 dim-1 mean,0.546990812648784,"[0.3411968812801219, 0.5107203798663567, 0.316028682259607, 0.11991085123894563, 1.4644693047178428, 0.53722805344765, 0.36736040932100045, 0.8128849595920979, 0.4531177921154334]"
channel-0 silhouette-1 dim-1 std,0.5489572187095525,"[0.364585860945137, 0.4366976201967664, 0.3047811137380183, 0.12083586939083077, 1.4738821117349947, 0.45013204646356775, 0.45781895598860944, 0.8479370478530621, 0.48394434207498604]"
