,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 303.5)","(304.5, 927.5)","(928.5, 1220.5)","(1221.5, 1686.5)","(1688.5, 2188.5)","(2189.5, 2571.5)","(2572.5, 2987.5)"
"Time length, sec",298.0,623.0,292.0,465.0,500.0,382.0,415.0
Number of epochs,278,579,272,428,462,352,388
