,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 96.5)","(97.5, 149.5)","(151.5, 206.5)","(207.5, 295.5)","(296.5, 702.5)","(703.5, 943.5)","(944.5, 1046.5)","(1047.5, 1165.5)","(1166.5, 1246.5)","(1247.5, 1304.5)"
"Time length, sec",88.0,52.0,55.0,88.0,406.0,240.0,102.0,118.0,80.0,57.0
Number of epochs,83,50,49,79,361,223,93,107,80,55
