,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 374.5)","(375.5, 620.5)","(621.5, 809.5)","(810.5, 1066.5)","(1067.5, 1333.5)","(1334.5, 1756.5)","(1757.5, 2185.5)","(2186.5, 2345.5)"
"Time length, sec",364.0,245.0,188.0,256.0,266.0,422.0,428.0,159.0
Number of epochs,318,210,160,215,222,368,377,147
