,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 646.5)","(647.5, 761.5)","(762.5, 1170.5)","(1171.5, 1323.5)","(1324.5, 1389.5)","(1390.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,208.0,114.0,408.0,152.0,65.0,654.0,300.0
Number of epochs,372,176,97,349,122,58,572,271
