,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 171.5)","(172.5, 343.5)","(345.5, 684.5)","(685.5, 1352.5)","(1353.5, 1443.5)","(1444.5, 1915.5)","(1916.5, 2111.5)","(2112.5, 2345.5)"
"Time length, sec",161.0,171.0,339.0,667.0,90.0,471.0,195.0,233.0
Number of epochs,143,148,287,565,80,408,173,213
