,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 66.5)","(67.5, 399.5)","(400.5, 599.5)","(600.5, 941.5)","(942.5, 1053.5)","(1055.5, 1286.5)","(1287.5, 1531.5)"
"Time length, sec",61.0,332.0,199.0,341.0,111.0,231.0,244.0
Number of epochs,54,322,186,324,99,211,223
