,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 133.5)","(134.5, 448.5)","(449.5, 565.5)","(566.5, 913.5)","(914.5, 1086.5)","(1087.5, 1200.5)","(1201.5, 1755.5)"
"Time length, sec",128.0,314.0,116.0,347.0,172.0,113.0,554.0
Number of epochs,127,296,112,330,162,105,510
