,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 636.5)","(637.5, 762.5)","(763.5, 1170.5)","(1171.5, 1300.5)","(1301.5, 1389.5)","(1390.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,198.0,125.0,407.0,129.0,88.0,654.0,300.0
Number of epochs,372,169,105,348,103,77,572,271
