,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 116.5)","(117.5, 219.5)","(220.5, 301.5)","(302.5, 430.5)","(431.5, 767.5)","(768.5, 919.5)","(920.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",108.0,102.0,81.0,128.0,336.0,151.0,139.0,96.0,77.0,65.0
Number of epochs,103,92,72,114,300,141,127,91,77,63
