,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 104.5)","(105.5, 219.5)","(220.5, 287.5)","(288.5, 770.5)","(771.5, 927.5)","(928.5, 988.5)","(989.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",96.0,114.0,67.0,482.0,156.0,60.0,70.0,96.0,77.0,65.0
Number of epochs,91,104,58,431,145,55,65,91,77,63
