Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
entropy,1248.0886075949368,0.5797216400994436,0.1441259508343295,0.30720788727671966,0.12924951795874937,3803.46835443038,3101.8734177215188,701.5949367088608
silhouette-2,1235.113924050633,1.2995834624869045,0.3334597232006491,0.34086968174290444,0.14785695827249792,2213.0443037974683,2994.8333333333335,-781.789029535865
amplitude-silhouette-2-2,1242.0127388535032,1.2145079054962524,0.3110836565163736,0.34656727481541344,0.15100645237137134,2382.796178343949,2934.1974522292994,-551.4012738853503
silhouette-1,1235.113924050633,1.2591439573866596,0.32282356523930184,0.375243827791136,0.16685816961822927,2298.162447257384,2814.974683544304,-516.8122362869199
amplitude-silhouette-2-1,1242.0127388535032,1.1780131194240775,0.30148501507733977,0.3900939636945191,0.17506697196686333,2454.0063694267515,2694.732484076433,-240.72611464968153
amplitude-bottleneck,1248.8216560509554,0.885072766350287,0.22443758680584916,0.4128737699534566,0.1876591077113716,3078.4904458598726,2558.146496815287,520.343949044586
amplitude-silhouette-1-2,1242.0127388535032,1.5055195414308207,0.3876238050843991,0.4306971772376463,0.19751146384649534,1828.5541401273886,2524.0955414012737,-695.5414012738853
landscape,1235.0928270042193,1.1677990016159585,0.2987985585993571,0.43517917607399587,0.19998900632918867,2449.8291139240505,2490.76582278481,-40.936708860759495
amplitude-silhouette-1-1,1242.0127388535032,1.448762411310438,0.3726958825023426,0.4807038739265949,0.22515397782067093,1913.7388535031846,2312.420382165605,-398.68152866242036
amplitude-landscape-2-1,1242.0063694267517,1.1568946875299444,0.29593057080397017,0.48215006171409686,0.22595339607406942,2486.267515923567,2324.063694267516,162.20382165605096
amplitude-landscape-2-2,1242.0127388535032,1.1553684080711921,0.2955291378641701,0.500521915212456,0.23610892024753738,2496.1974522292994,2223.8025477707006,272.3949044585987
amplitude-landscape-1-1,1242.0063694267517,1.3281902864069146,0.34098371977853587,0.507721485427922,0.24008867163017686,2146.191082802548,2207.108280254777,-60.9171974522293
life,1248.8290960451977,1.130976557419466,0.2891137384704772,0.5186508932811226,0.24613018865320244,2525.1850282485875,2055.4307909604518,469.7542372881356
amplitude-landscape-1-2,1242.0127388535032,1.3026723100068172,0.33427213349248797,0.5281654908753672,0.25138963217520754,2192.808917197452,2113.4012738853503,79.40764331210191
amplitude-wasserstein-1,1248.9617834394905,1.2340664938189039,0.3162278400167652,0.5511298392165808,0.2640837783988296,2287.0254777070063,1853.4522292993631,433.5732484076433
amplitude-wasserstein-2,1248.968152866242,1.2161160100025628,0.31150661059321183,0.578039403950894,0.2789587465222815,2329.044585987261,1782.2929936305732,546.7515923566879
bd2,1248.8559322033898,1.4469944799677836,0.37223089172219637,0.6767532799204913,0.3335254321185661,1948.3333333333333,1614.5112994350281,333.8220338983051
