,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 108.5)","(109.5, 216.5)","(217.5, 274.5)","(275.5, 697.5)","(698.5, 771.5)","(772.5, 944.5)","(945.5, 1059.5)","(1060.5, 1177.5)","(1178.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",100.0,107.0,57.0,422.0,73.0,172.0,114.0,117.0,60.0,65.0
Number of epochs,95,97,51,375,67,161,103,108,60,63
