,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 102.5)","(103.5, 219.5)","(220.5, 287.5)","(288.5, 770.5)","(771.5, 927.5)","(928.5, 989.5)","(990.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",94.0,116.0,67.0,482.0,156.0,61.0,69.0,95.0,82.0,65.0
Number of epochs,89,106,58,431,145,56,64,90,78,63
