num_features,explained_variances_reduced,explained_variances_all,fmi,silh_15,silh_reduced,silh_all
51,0.9335911073709131,0.4908254152671757,0.7237197446053695,0.2778954364351036,0.254441433178626,0.1369985983766976
102,0.8973627842977968,0.5504970427815745,0.7279536415486614,0.28301989932362526,0.24751669204539156,0.13922790228166187
153,0.864497705800662,0.5753540298688201,0.8225992966519937,0.2599346380492683,0.21828701796492678,0.13370053852553115
204,0.8389860333005563,0.6026302274673606,0.7892873981171113,0.2593498142111511,0.21092819368712895,0.13390868479579365
255,0.8307327223039137,0.6080060862349265,0.7334985452687987,0.2629767699497988,0.21218166972209695,0.1385246638635756
306,0.8067816757433847,0.6247043232619637,0.7334985452687987,0.25697133095898356,0.20273769731411692,0.1385246638635756
357,0.7936676591726097,0.6339327346213011,0.7771180405400463,0.2517407635741393,0.1943113731291054,0.1362885718267088
408,0.7773528379095186,0.6405897519436544,0.7384320608560779,0.24113830456968388,0.18220305616130367,0.1329399945048444
459,0.7645503588657059,0.6577468793724383,0.6863295278467129,0.24248318989221784,0.18093000224884387,0.13775288027488722
510,0.7502812276401116,0.6750546629607879,0.7175671324627112,0.22538275084348905,0.16524811787671928,0.13069017893446197
561,0.7364009300709978,0.6878735286368415,0.6849378322830262,0.23108251183321132,0.16579753651620105,0.13800909740527317
612,0.7234450812453622,0.6976059864529648,0.8588307884088562,0.2254886734516794,0.15839633588170748,0.13773651578706209
663,0.7170179198200336,0.7040722159626214,0.7315119317016328,0.2168075392975357,0.15290373617129888,0.13885017034726424
714,0.7106087097064433,0.7090923994164583,0.7055520326065039,0.212085372177101,0.1473263627508415,0.14058882858257976
