num_features,explained_variances_reduced,explained_variances_all,fmi,silh_15,silh_reduced,silh_all
51,0.7339838107715302,0.4041599360037681,0.0,0.0,0.0,0.0
102,0.7015289546768334,0.4273378676977418,0.0,0.0,0.0,0.0
153,0.6765404052307423,0.4423525300457494,0.0,0.0,0.0,0.0
204,0.6506313322886567,0.4525150520823579,0.0,0.0,0.0,0.0
255,0.6452608594419883,0.4671755063015935,0.0,0.0,0.0,0.0
306,0.6081266374650661,0.46081169201901945,0.0,0.0,0.0,0.0
357,0.5980281894480335,0.4652471713014381,0.0,0.0,0.0,0.0
408,0.5670055428731969,0.4472670019608112,0.0,0.0,0.0,0.0
459,0.5566290358771155,0.4567353529208951,0.0,0.0,0.0,0.0
510,0.5562300304652171,0.47797179475261486,0.0,0.0,0.0,0.0
561,0.5341169118371495,0.47583158027653905,0.8203167042843702,0.5341163873672485,0.1604117578913147,0.13357943388669016
612,0.5144684552116732,0.47105194429276587,0.836872557808127,0.5306665301322937,0.15764678231320328,0.13675708218007768
663,0.502716225839311,0.4741529121697553,0.7625531545757793,0.4869304895401001,0.1287464580442403,0.11720338269930254
714,0.5033122315956636,0.49539185077357,0.8459071662662822,0.5256072282791138,0.14465747621453087,0.13754202043469593
