,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 72.3)","(73.1, 177.1)","(177.9, 285.1)","(285.9, 340.3)","(341.1, 505.1)","(505.9, 561.1)","(561.9, 676.3)","(677.1, 840.3)","(841.1, 938.7)"
"Time length, sec",62.4,104.0,107.20000000000002,54.400000000000034,164.0,55.200000000000045,114.39999999999998,163.19999999999993,97.60000000000002
Number of epochs,72,114,120,59,187,62,132,186,114
