,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 100.5)","(101.5, 223.5)","(224.5, 294.5)","(295.5, 567.5)","(568.5, 703.5)","(704.5, 825.5)","(826.5, 1015.5)","(1017.5, 1154.5)","(1155.5, 1230.5)","(1231.5, 1304.5)"
"Time length, sec",92.0,122.0,70.0,272.0,135.0,121.0,189.0,137.0,75.0,73.0
Number of epochs,87,112,61,238,125,112,176,127,71,71
