,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(5.5, 188.5)","(189.5, 232.5)","(233.5, 273.5)","(274.5, 394.5)","(395.5, 660.5)","(661.5, 1565.5)","(1566.5, 2056.5)","(2057.5, 2276.5)","(2280.5, 2926.5)","(2927.5, 2972.5)"
"Time length, sec",183.0,43.0,40.0,120.0,265.0,904.0,490.0,219.0,646.0,45.0
Number of epochs,180,44,41,114,243,864,468,209,603,46
