,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 107.5)","(108.5, 223.5)","(224.5, 274.5)","(275.5, 767.5)","(768.5, 946.5)","(947.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,45.0,115.0,50.0,492.0,178.0,112.0,95.0,82.0,65.0
Number of epochs,52,42,105,44,438,167,101,90,78,63
