,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 377.5)","(378.5, 556.5)","(557.5, 970.5)","(972.5, 1354.5)","(1355.5, 1446.5)","(1447.5, 1888.5)","(1889.5, 2049.5)","(2050.5, 2348.5)"
"Time length, sec",367.0,178.0,413.0,382.0,91.0,441.0,160.0,298.0
Number of epochs,320,156,343,326,81,380,145,268
