,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 80.3)","(81.1, 193.1)","(193.9, 309.1)","(309.9, 505.1)","(505.9, 620.3)","(621.1, 723.5)","(724.3, 758.7)","(759.5, 877.1)","(877.9, 938.7)"
"Time length, sec",70.39999999999999,112.0,115.20000000000002,195.20000000000005,114.39999999999998,102.39999999999998,34.40000000000009,117.60000000000002,60.80000000000007
Number of epochs,81,122,129,220,130,119,41,134,70
