,Feature,IV,IVs
0,feature-0 betti-1 max,0.2934472738063247,"[0.8174465176719459, 0.09929576052018073, 0.10216094250705947, 0.07796557731678372, 0.7511694221040569, 0.1923949195690559, 0.2536176364321246, 0.07711997034711729, 0.2698547177885974]"
1,feature-0 betti-1 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,feature-0 betti-1 std,0.3944876868316167,"[0.9652016518948969, 0.09918650272463435, 0.13716028675478806, 0.1397620008884144, 1.1641765880487638, 0.44310400658627136, 0.35360744196472144, 0.1035143220439104, 0.14467638057814936]"
3,feature-0 betti-1 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,feature-0 betti-1 norm,0.3944876868316167,"[0.9652016518948969, 0.09918650272463435, 0.13716028675478806, 0.1397620008884144, 1.1641765880487638, 0.44310400658627136, 0.35360744196472144, 0.1035143220439104, 0.14467638057814936]"
5,feature-0 betti-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,feature-0 betti-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,feature-0 betti-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,feature-0 betti-1 percentile-90,0.010910621754652652,"[0.007373547971032429, 0.004846663407668895, 0.009593488130973658, 0.00019428888544522445, 0.003598457173570623, 0.0055493300723137625, 0.017766767796658558, 0.003227982452184512, 0.046045069902026205]"
9,feature-0 betti-1 kurtosis,0.20941527058065873,"[0.3793213618041043, 0.1845147301108647, 0.13454974460378044, 0.05420746635741555, 0.06414035651365854, 0.11285273672834545, 0.35077716639723633, 0.312727654086016, 0.2916462186245072]"
10,feature-0 betti-1 skew,0.13699984833317108,"[0.29041199340082274, 0.1328573356925015, 0.1889153165787449, 0.03765306701247921, 0.14403143397100307, 0.11652179630722057, 0.0608709000701782, 0.07321342972310071, 0.18852336224248883]"
11,feature-0 betti-2 max,0.1556954176680771,"[0.32607217991742093, 0.024077821777269123, 0.11984453707364857, 0.10624073072858005, 0.3185145569081553, 0.09774121462762547, 0.0795733306151564, 0.177709949429434, 0.15148443793540378]"
12,feature-0 betti-2 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,feature-0 betti-2 std,0.21904907163557466,"[0.49188119335060376, 0.03729405018435743, 0.18352421238911198, 0.11391297454653945, 0.48970610245182417, 0.12415161335001673, 0.12549689297025407, 0.25066539358368745, 0.154809211893777]"
14,feature-0 betti-2 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,feature-0 betti-2 norm,0.21904907163557466,"[0.49188119335060376, 0.03729405018435743, 0.18352421238911198, 0.11391297454653945, 0.48970610245182417, 0.12415161335001673, 0.12549689297025407, 0.25066539358368745, 0.154809211893777]"
16,feature-0 betti-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,feature-0 betti-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,feature-0 betti-2 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,feature-0 betti-2 percentile-90,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,feature-0 betti-2 kurtosis,0.18475201633562502,"[0.3263578722821987, 0.09984949829319723, 0.032066039636313055, 0.1487369253081604, 0.3081957996887178, 0.1467863312474614, 0.09755566169396743, 0.31217962198506205, 0.19104039688554716]"
21,feature-0 betti-2 skew,0.11519302334742,"[0.22835507404633176, 0.04126400981418249, 0.023260459255705645, 0.010264558469153496, 0.1102192895628218, 0.06989165492028716, 0.053582197401169686, 0.14149709003454458, 0.35840287662258324]"
22,feature-0 entropy-1,0.5405925296648744,"[1.0164908987842702, 0.18268094924883777, 0.1583627471528289, 0.2389809509181123, 2.0544054686675404, 0.6344523861540817, 0.28061547473028975, 0.13022842008026211, 0.16911547124764703]"
23,feature-0 entropy-2,0.2982782090608822,"[0.9106827061217204, 0.06553421711124463, 0.034215484537213944, 0.08526244783802997, 0.2543333552214709, 0.13357727673105751, 0.23398122062284912, 0.5138730984461926, 0.45304407491816095]"
24,feature-0 numberofpoints-1,0.49714023323010587,"[1.0568186735970682, 0.14854776196302644, 0.11365011838907581, 0.1526409217645072, 1.7307980069022706, 0.5446323462388796, 0.3761387291743654, 0.04640970334609744, 0.3046258376956622]"
25,feature-0 numberofpoints-2,0.28593354389124914,"[0.6650709152067474, 0.06537987596202344, 0.06930172755571487, 0.09861634796007088, 0.28936930357601626, 0.18261046272123022, 0.32370209169195374, 0.5372407168364217, 0.3421104535110636]"
26,feature-0 bottleneck-amplitude-1,0.5336129749076769,"[0.7805425928468064, 0.240936657003393, 0.3827983620784844, 0.22016077414734686, 1.2588766842926733, 0.36974037755491035, 0.24156009518345023, 0.8989718145016192, 0.40892941656040827]"
27,feature-0 bottleneck-amplitude-2,0.20685903900006888,"[0.09505585600993141, 0.1335200876938779, 0.1062016454039981, 0.08448846790683982, 0.6225520170216066, 0.16588998118553241, 0.2138873507672972, 0.23177215249636687, 0.20836379251516976]"
28,feature-0 bottleneck-amplitude-norm,0.5380288617125127,"[0.7272950439903175, 0.3049681861109223, 0.43091454772258764, 0.2013037448864176, 1.2604876000019916, 0.31250350582465186, 0.23305955532670636, 1.0112276966298959, 0.3604998749191236]"
29,feature-0 wasserstein-amplitude-1,0.5845966470706067,"[0.8059285684647735, 0.5677167829039033, 0.45369978703136393, 0.0824081032507222, 0.9767636183196919, 0.4031714328779177, 0.275009622386636, 1.2091745166001044, 0.4874973918003474]"
30,feature-0 wasserstein-amplitude-2,0.2005399091162442,"[0.13081572579229364, 0.07500808533006774, 0.07635166969551717, 0.06669736698331345, 0.6819649211816723, 0.10173297798834095, 0.2881938252831898, 0.2721908062934698, 0.11190380349833308]"
31,feature-0 wasserstein-amplitude-norm,0.5981966915407442,"[0.800165940026005, 0.6227056217861219, 0.4489989753198087, 0.0955062628040964, 0.9761053639599595, 0.41216815872529816, 0.31821032914713776, 1.1889970112485757, 0.5209125608496948]"
32,feature-0 betti-amplitude-1,0.5972148381513294,"[0.6824765856144275, 0.42566844389330916, 0.12899507218100906, 0.1747869984920376, 2.0179300882782796, 0.8969206068149499, 0.4033533616656143, 0.43498181322270313, 0.20982057319963385]"
33,feature-0 betti-amplitude-2,0.2323253283018265,"[0.4531999853772453, 0.09239245752381536, 0.08201673348486245, 0.22831179183035705, 0.5536673989064876, 0.09090263074124771, 0.14820768173910204, 0.22294020213361276, 0.21928907297970823]"
34,feature-0 betti-amplitude-norm,0.5954800252079399,"[0.6659976117488051, 0.4171144224278632, 0.14179272744477905, 0.17789209106402318, 2.029812422361735, 0.8875727742135444, 0.39922796420454226, 0.4334344591536837, 0.20647575425248155]"
35,feature-0 landscape-amplitude-1,0.5454784455295184,"[0.8582463502831674, 0.3121113935008992, 0.45227980810445756, 0.156053954130185, 1.315544824220912, 0.3834609785069375, 0.21465896091439285, 0.8351965394357915, 0.38175320066892215]"
36,feature-0 landscape-amplitude-2,0.16843948091992736,"[0.08978700894590724, 0.15734086190582433, 0.044422237229364635, 0.06613567807658453, 0.5600802464446855, 0.11527531649099534, 0.11947525851156976, 0.16925550842235962, 0.19418321225205526]"
37,feature-0 landscape-amplitude-norm,0.540213261274234,"[0.8582463502831674, 0.292040101972131, 0.4407528150377229, 0.15533345947680838, 1.3005506882775868, 0.3758728728845841, 0.2199892274461235, 0.8552338842290786, 0.36389995186090207]"
38,feature-0 silhouette-amplitude-1,0.5765931964265816,"[1.0418795293917542, 0.29102156861970724, 0.2213067341137903, 0.1630793924562913, 1.4402163664817154, 0.4439942029175519, 0.4445154244100765, 0.662365329865249, 0.4809602195830977]"
39,feature-0 silhouette-amplitude-2,0.21234783179896172,"[0.2353537631172325, 0.09298957548790802, 0.09398379527796093, 0.10740654336977921, 0.4264583024463199, 0.1292246987183679, 0.4146032634085579, 0.21748156817194594, 0.19362897619258312]"
40,feature-0 silhouette-amplitude-norm,0.5829594064540699,"[1.088651180892754, 0.23491242521022102, 0.2865380070665694, 0.16002310030919226, 1.4841226104616996, 0.3648694520573888, 0.4389479090525422, 0.7418314599621199, 0.4467385130741419]"
41,feature-0 life-all max,0.5336129749076769,"[0.7805425928468064, 0.240936657003393, 0.3827983620784844, 0.22016077414734686, 1.2588766842926733, 0.36974037755491035, 0.24156009518345023, 0.8989718145016192, 0.40892941656040827]"
42,feature-0 life-all mean,0.5720488857396623,"[0.8405458555003398, 0.48188964129740663, 0.4164462561550758, 0.06667477437666303, 0.6574246951840871, 0.41485726357354075, 0.4418422052689133, 1.2749997143591105, 0.5537595659418245]"
43,feature-0 life-all std,0.5940392477835901,"[1.127819180287505, 0.35479452243746884, 0.2774832393521349, 0.1438786613044506, 1.285567746415044, 0.38456024710787023, 0.32614046799615287, 0.8547325652312502, 0.5913765999204339]"
44,feature-0 life-all sum,0.5236987341668571,"[0.3526978574199966, 0.84169436967649, 0.21976443402231788, 0.08266493793302525, 0.6242276219710299, 0.6252844775010326, 0.23110518977839883, 1.2301389008795542, 0.5057108183198674]"
45,feature-0 life-all norm,0.5981966915407442,"[0.800165940026005, 0.6227056217861219, 0.4489989753198087, 0.0955062628040964, 0.9761053639599595, 0.41216815872529816, 0.31821032914713776, 1.1889970112485757, 0.5209125608496948]"
46,feature-0 life-all percentile-25,0.32921448680665477,"[0.11701965728704447, 0.24867623779578135, 0.3452824543779274, 0.05868411580408744, 0.28860752199188744, 0.3948108469575283, 0.3708963110899838, 0.8136356265164982, 0.32531760943915433]"
47,feature-0 life-all median,0.40350693429141793,"[0.16194299217016989, 0.42441808481055254, 0.20181214795696828, 0.07915856636511376, 0.3045034450387614, 0.6221902333151864, 0.3293537398944933, 0.9888984226869942, 0.5192847763845211]"
48,feature-0 life-all percentile-75,0.4742912860915185,"[0.4882536803766147, 0.5089839518259882, 0.25843685211738554, 0.05533269775378562, 0.2675164988000116, 0.4559109645501409, 0.2477871911402272, 1.2270013914288547, 0.7593983468306582]"
49,feature-0 life-all percentile-90,0.4791886066129223,"[0.962515195452172, 0.6186280896856122, 0.17176931329650574, 0.07641032744817043, 0.3293730383100842, 0.38095025550538564, 0.23393443099105576, 0.8500285799820072, 0.689088228845308]"
50,feature-0 life-all kurtosis,0.16225885882563432,"[0.3308015825879895, 0.08270598632037536, 0.23648540893533637, 0.03707078864978068, 0.2609284372014976, 0.1310668598807404, 0.14731349226362878, 0.10448352047940872, 0.12947365311195158]"
51,feature-0 life-all skew,0.19028651649148273,"[0.41571807613207756, 0.0743440390886689, 0.12172569829663402, 0.06387417359278408, 0.4259225383760794, 0.1294433576701309, 0.08673893844143384, 0.203425669242578, 0.19138615758295796]"
52,feature-0 life-1 max,0.5336129749076769,"[0.7805425928468064, 0.240936657003393, 0.3827983620784844, 0.22016077414734686, 1.2588766842926733, 0.36974037755491035, 0.24156009518345023, 0.8989718145016192, 0.40892941656040827]"
