,0,1,2,3,4
"Start-end time, sec","(5.5, 156.5)","(157.5, 459.5)","(460.5, 937.5)","(938.5, 1237.5)","(1238.5, 1281.5)"
"Time length, sec",151.0,302.0,477.0,299.0,43.0
Number of epochs,145,281,448,281,42
