,0,1,2,3,4,5,6
"Start-end time, sec","(11.5, 216.5)","(217.5, 506.5)","(507.5, 619.5)","(620.5, 710.5)","(711.5, 758.5)","(759.5, 877.5)","(878.5, 976.5)"
"Time length, sec",205.0,289.0,112.0,90.0,47.0,118.0,98.0
Number of epochs,199,280,108,84,47,112,92
