,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 666.5)","(668.5, 871.5)","(873.5, 1104.5)","(1105.5, 1320.5)","(1321.5, 1772.5)","(1774.5, 2345.5)"
"Time length, sec",62.0,338.0,254.0,203.0,231.0,215.0,451.0,571.0
Number of epochs,54,294,219,170,200,177,392,511
