,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,0,35,10,Mode,40,[   0  949 1180],2,949,231,590.0,304494.72393045353,40.484780916829514,0.08187155095445975,73.86561588509805,2.9249898702061534,0.08187155095445975,73.86561588509805,2.9249898702061534
1,0,35,10,Mode,40,[   0  822  949 1180],3,822,127,393.3333333333333,344935.88454298023,58.84407484869757,0.09541146720094665,102.13601532592662,2.44874393374819,0.1685331623585249,89.7394699644793,2.0352322764129247
2,0,35,10,Mode,40,[   0  195  822  949 1180],4,627,127,295.0,317404.8033773007,53.212305364521,0.05335193256353339,88.28256689651302,2.910037855553143,0.15566172934174702,87.18835158381192,2.3271472571660468
3,40,35,20,Mode,40,[   0   64  195  683  949 1180],5,488,64,236.0,300023.2306762684,51.10376509037168,0.0005556219909428557,81.01102819458039,4.28934840471293,0.14957048266692796,90.77981136652463,2.200030790702236
4,40,35,20,Mode,40,[   0   64  195  683  822  949 1180],6,488,64,196.66666666666666,193302.124708353,48.91639437973564,0.0009933693530841897,74.26643084115888,3.6001818467668714,0.13880273853047195,59.332143548488276,2.2590377924941927
5,40,45,10,Mode,40,[   0   52  195  262  683  822  949 1180],7,421,52,168.57142857142858,130660.57290577197,43.59552420398749,-0.011220041026985579,65.86216439626679,3.6546296636639672,0.11563613906068893,39.598043250474774,2.556823941724868
6,40,35,20,Mode,40,[   0   64  195  683  822  949 1038 1117 1180],8,488,63,147.5,140401.7091079989,45.48955733448842,-0.009021484342701436,57.369060274925396,5.393470103762548,0.11988264619737181,43.27882736933682,2.470509060880478
7,40,35,15,Median,40,[   0   64  195  267  679  822  949 1040 1117 1180],9,412,63,131.11111111111111,101314.10816701107,41.68600860095127,-0.016531659045874097,53.073150887267126,5.394230955676857,0.104416475970536,30.799041967596924,2.65595299245901
8,40,35,20,Median,40,[   0  103  195  267  449  681  822  949 1038 1118 1180],10,232,62,118.0,89325.41474357931,39.18838525339587,-0.02671442093602834,48.18134663562292,6.093363094398435,0.09910871441497858,27.430571583803136,3.114935665957522
9,40,40,10,Mode,40,[   0   52  153  195  267  618  683  822  949 1040 1117 1180],11,351,42,107.27272727272727,66960.21843015151,37.63126427557781,-0.036717407979303514,44.08192328846491,5.703532054967391,0.09364620419182479,20.02944980788859,3.1516011742977748
10,40,35,10,Mode,40,[   0   52  153  195  267  454  634  683  822  949 1040 1117 1180],12,187,42,98.33333333333333,59665.05779115909,35.25025019566756,-0.04532978131886645,40.75280101889326,5.925813772917302,0.0840464640106988,17.959953655837595,3.5244026620560103
11,40,45,20,Mode,40,[   0   64  153  195  267  377  618  683  822  949  991 1038 1117 1180],13,241,42,90.76923076923077,57467.91797493562,37.19853335751576,-0.0557787814230711,37.98495260565718,4.926641025771589,0.08127762682906269,17.089601077804165,3.3318711266706367
12,20,50,20,Mode,40,"[   0   64  153  195  262  454  618  683  734  822  866  949 1038 1117
 1180]",14,192,42,84.28571428571429,41722.44449569887,31.46182300818456,-0.042963438128919965,34.4669108447482,6.445894702377932,0.0768415760990026,12.939837316695774,4.164180437349539
13,40,45,20,Median,40,"[   0   64  153  195  263  419  584  634  683  734  822  949  991 1038
 1118 1180]",15,165,42,78.66666666666667,44903.83726503305,33.63248663483476,-0.05549270042027173,33.036485745480995,5.3922290716959145,0.0683198249878784,13.479098288555667,3.8124397123837817
