name,score,mean,variance,unique_values,normalized_score
channel-0 landscape dim-1 max,0.3973595965463155,4.2270247736436557e-16,1.0000000000000002,2824,0.08612085605987245
channel-0 landscape dim-1 mean,0.7791040015498298,-6.239893713473967e-16,1.0,2824,0.17681645270216093
channel-0 landscape dim-1 std,0.7237630325378639,8.454049547287311e-16,1.0,2824,0.1636684349774311
channel-0 landscape dim-1 sum,0.7791040015498297,2.0128689398303122e-17,1.0,2824,0.1768164527021609
channel-0 landscape dim-1 norm-1,0.7791040015498297,2.0128689398303122e-17,1.0,2824,0.1768164527021609
channel-0 landscape dim-1 norm-2,0.5676602582372537,-6.038606819490937e-17,1.0,2824,0.12658122671152347
channel-0 landscape dim-2 max,0.2289252254325217,-4.881207179088507e-16,1.0000000000000002,2822,0.04610388244347189
channel-0 landscape dim-2 mean,0.20939769817219028,2.4657644512921325e-16,1.0,2824,0.04146449359425482
channel-0 landscape dim-2 std,0.13127482055976342,-3.069625133241226e-16,1.0000000000000002,2824,0.022903904614813696
channel-0 landscape dim-2 sum,0.20939769817218853,7.045041289406093e-16,1.0,2824,0.0414644935942544
channel-0 landscape dim-2 norm-1,0.20939769817218853,7.045041289406093e-16,1.0,2824,0.0414644935942544
channel-0 landscape dim-2 norm-2,0.12510066785611762,-5.988285095995179e-16,0.9999999999999997,2824,0.02143703710902118
channel-0 silhouette-1 dim-1 max,0.14501701322246596,5.0321723495757804e-17,1.0,2824,0.02616880213886677
channel-0 silhouette-1 dim-1 mean,0.6804053593969378,5.837319925507906e-16,1.0,2824,0.15336743257111837
channel-0 silhouette-1 dim-1 std,0.3553415028429793,1.0064344699151561e-16,0.9999999999999997,2824,0.07613811360642227
channel-0 silhouette-1 dim-1 sum,0.6804053593969379,8.051475759321249e-17,1.0000000000000002,2824,0.1533674325711184
channel-0 silhouette-1 dim-1 norm-1,0.6804053593969379,8.051475759321249e-17,1.0000000000000002,2824,0.1533674325711184
channel-0 silhouette-1 dim-1 norm-2,0.3516930940641837,2.0128689398303122e-16,1.0000000000000002,2824,0.0752713173766654
channel-0 silhouette-1 dim-2 max,0.1703128477096982,-1.2077213638981874e-16,0.9999999999999999,2824,0.03217863691657094
channel-0 silhouette-1 dim-2 mean,0.3458812526639732,3.321233750720015e-16,1.0000000000000002,2824,0.07389052851251009
channel-0 silhouette-1 dim-2 std,0.18115126773741677,5.0321723495757804e-17,1.0,2824,0.03475365035013944
channel-0 silhouette-1 dim-2 sum,0.3458812526639731,-3.6231640916945617e-16,1.0000000000000002,2824,0.07389052851251007
channel-0 silhouette-1 dim-2 norm-1,0.3458812526639731,-3.6231640916945617e-16,1.0000000000000002,2824,0.07389052851251007
channel-0 silhouette-1 dim-2 norm-2,0.13089771365435665,-7.045041289406092e-17,1.0,2824,0.022814310804569173
channel-0 silhouette-2 dim-1 max,0.24566917177261138,2.6167296217794056e-16,1.0,2824,0.050081942589361696
channel-0 silhouette-2 dim-1 mean,0.5013328641555869,2.415442727796375e-16,1.0,2824,0.11082303222034395
channel-0 silhouette-2 dim-1 std,0.2850895009062574,3.4218771977115304e-16,0.9999999999999999,2824,0.05944750295842197
channel-0 silhouette-2 dim-1 sum,0.5013328641555869,-2.0128689398303122e-17,0.9999999999999999,2824,0.11082303222034395
channel-0 silhouette-2 dim-1 norm-1,0.5013328641555869,-2.0128689398303122e-17,0.9999999999999999,2824,0.11082303222034395
channel-0 silhouette-2 dim-1 norm-2,0.6466919237496255,-2.818016515762437e-16,1.0,2824,0.14535772733165
channel-0 silhouette-2 dim-2 max,0.1400210523679558,4.0257378796606245e-17,1.0000000000000002,2824,0.024981851800990454
channel-0 silhouette-2 dim-2 mean,0.39122485279005165,1.5096517048727341e-16,1.0,2824,0.08466335141034974
channel-0 silhouette-2 dim-2 std,0.20459401150894518,-1.6102951518642498e-16,1.0,2824,0.040323224141984505
channel-0 silhouette-2 dim-2 sum,0.39122485279005026,-1.0064344699151561e-17,1.0,2824,0.0846633514103494
channel-0 silhouette-2 dim-2 norm-1,0.39122485279005026,-1.0064344699151561e-17,1.0,2824,0.0846633514103494
channel-0 silhouette-2 dim-2 norm-2,0.12471167812534435,-2.918659962753953e-16,1.0000000000000002,2824,0.02134462015344097
channel-0 entropy dim-1,0.21290968762233475,-3.0193034097454683e-16,0.9999999999999999,2824,0.04229887904799668
channel-0 entropy dim-2,0.1987003529043525,4.0257378796606245e-17,1.0,2824,0.03892299698333219
channel-0 amplitude-bottleneck dim-1,0.375037254633627,-1.6102951518642498e-16,1.0,2822,0.08081746957486083
channel-0 amplitude-bottleneck dim-2,0.2824443439760344,5.0321723495757804e-17,0.9999999999999999,2823,0.058819061302553176
channel-0 amplitude-bottleneck norm-1,0.38905216371315016,3.824450985677593e-16,1.0,2823,0.08414715960880663
channel-0 amplitude-bottleneck norm-2,0.47213035041966717,4.0257378796606243e-16,0.9999999999999999,2824,0.10388504079985549
channel-0 amplitude-wasserstein-1 dim-1,0.11014606171168732,-4.12638132665214e-16,1.0,2824,0.017884091973369348
channel-0 amplitude-wasserstein-1 dim-2,0.15979138454355823,1.8115820458472809e-16,0.9999999999999999,2824,0.029678926725941843
channel-0 amplitude-wasserstein-1 norm-1,0.13397610698646756,-3.0193034097454685e-17,1.0000000000000002,2824,0.02354568162833507
channel-0 amplitude-wasserstein-1 norm-2,0.10841930910383385,4.856046317340628e-16,1.0,2824,0.0174738466469933
