,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 116.5)","(117.5, 223.5)","(224.5, 287.5)","(288.5, 770.5)","(771.5, 946.5)","(947.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,54.0,106.0,63.0,482.0,175.0,112.0,95.0,82.0,65.0
Number of epochs,52,51,96,54,431,164,101,90,78,63
