,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 636.5)","(637.5, 762.5)","(763.5, 989.5)","(990.5, 1170.5)","(1171.5, 1320.5)","(1321.5, 1502.5)","(1503.5, 2345.5)"
"Time length, sec",427.0,198.0,125.0,226.0,180.0,149.0,181.0,842.0
Number of epochs,372,169,105,190,158,120,161,742
