,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 49.5)","(50.5, 272.5)","(273.5, 574.5)","(575.5, 658.5)","(659.5, 744.5)","(745.5, 809.5)","(810.5, 1055.5)"
"Time length, sec",40.0,222.0,301.0,83.0,85.0,64.0,245.0
Number of epochs,41,213,288,76,84,62,233
