,0,1,2,3,4,5,6
"Start-end time, sec","(11.5, 100.5)","(101.5, 247.5)","(248.5, 509.5)","(510.5, 619.5)","(620.5, 770.5)","(771.5, 877.5)","(878.5, 976.5)"
"Time length, sec",89.0,146.0,261.0,109.0,150.0,106.0,98.0
Number of epochs,87,143,252,105,143,100,92
