num_features,explained_variances_reduced,explained_variances_all,fmi,silh_15,silh_reduced,silh_all
51,0.9478528429646147,0.44692392335973113,0.7371632290102733,0.3244907873883494,0.3027803272370033,0.13175718523446744
102,0.8948925595177595,0.5329529802695817,0.7463882030818408,0.3204152202242524,0.2798994987287406,0.13740283959962707
153,0.8664266531627504,0.558428757227304,0.7169884502513187,0.29726595646873105,0.25159208623397106,0.137479697426534
204,0.8482917872981619,0.5761923728172814,0.7608589273097878,0.2740508735522476,0.22337846720685262,0.13292459048488403
255,0.8206332141313604,0.6107847946471366,0.753719129244778,0.26490858688584484,0.20947380703813118,0.1310418200486882
306,0.8041866594075111,0.6258943265026131,0.7005849807764706,0.2602589866017357,0.20324091899814212,0.13793118162528933
357,0.7887997087671348,0.6421832379189902,0.7276827654746105,0.255487442102504,0.19492751715314188,0.13697373662362938
408,0.775236783732154,0.6460431626048209,0.7010132601525454,0.25068620294559996,0.18856182759994236,0.13851919075754582
459,0.7582278188368131,0.6611500258848436,0.7406833770172033,0.24313001569887033,0.1784812006855242,0.13721276243039177
510,0.7452139493290936,0.6762354108593351,0.691063670941033,0.24272103448399165,0.1753929052135717,0.13968344136207356
561,0.7319978614312819,0.6873614170576469,0.842287013314229,0.23114298832879232,0.16346932289449417,0.13593881111198314
612,0.7240513049492677,0.6942672346933905,0.8588307884088562,0.22727185880181922,0.1591235132296604,0.13773651578706209
663,0.7160979216433725,0.7045333219265272,0.7418308928630342,0.22041712827557883,0.15468314757703622,0.14038098991639358
714,0.7121758930199643,0.7086295561085407,0.7340508591435848,0.21066876637688697,0.14605290124905246,0.13907177121048048
