,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 203.5)","(204.5, 437.5)","(438.5, 606.5)","(607.5, 991.5)","(992.5, 1315.5)","(1316.5, 1661.5)","(1663.5, 2117.5)","(2119.5, 2345.5)"
"Time length, sec",193.0,233.0,168.0,384.0,323.0,345.0,454.0,226.0
Number of epochs,171,201,143,323,271,307,394,207
