,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 219.5)","(220.5, 301.5)","(302.5, 428.5)","(430.5, 767.5)","(768.5, 919.5)","(920.5, 1059.5)","(1060.5, 1178.5)","(1179.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,157.0,81.0,126.0,337.0,151.0,139.0,118.0,59.0,65.0
Number of epochs,52,143,72,113,301,141,127,109,59,63
