,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 99.5)","(100.5, 223.5)","(224.5, 287.5)","(288.5, 769.5)","(770.5, 946.5)","(947.5, 1059.5)","(1060.5, 1112.5)","(1113.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",91.0,123.0,63.0,481.0,176.0,112.0,52.0,43.0,77.0,65.0
Number of epochs,86,113,54,430,165,101,50,41,77,63
