,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 304.5)","(305.5, 549.5)","(550.5, 1237.5)","(1238.5, 1718.5)","(1719.5, 2190.5)","(2191.5, 2506.5)","(2510.5, 2987.5)"
"Time length, sec",299.0,244.0,687.0,480.0,471.0,315.0,477.0
Number of epochs,279,225,642,439,436,290,448
