,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 118.7)","(119.5, 195.5)","(196.3, 338.7)","(339.5, 453.1)","(454.7, 620.3)","(621.1, 701.1)","(701.9, 761.9)","(762.7, 876.3)","(877.1, 938.7)"
"Time length, sec",108.8,76.0,142.39999999999998,113.60000000000002,165.59999999999997,80.0,60.0,113.59999999999991,61.60000000000002
Number of epochs,124,82,157,127,192,94,69,130,71
