,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 108.5)","(109.5, 219.5)","(220.5, 301.5)","(302.5, 767.5)","(768.5, 919.5)","(920.5, 991.5)","(992.5, 1059.5)","(1060.5, 1166.5)","(1167.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",100.0,110.0,81.0,465.0,151.0,71.0,67.0,106.0,71.0,65.0
Number of epochs,95,100,72,414,141,65,62,97,71,63
