Source,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
channel-5,3010.4406779661017,0.6897129589520643,0.09971161006326296,0.07903346818068667,0.03967216351406043,3144.830508474576,2921.406779661017,223.42372881355934
channel-30,3056.398305084746,0.7409228774206628,0.1077578468123792,0.11839489747599032,0.06480440669615023,2879.3474576271187,2145.762711864407,733.5847457627119
channel-28,3037.262711864407,0.7427976141264014,0.10805241036232668,0.10434897062802603,0.055836092903159974,2906.677966101695,2344.85593220339,561.8220338983051
channel-18,2721.101694915254,0.7629389853352766,0.11121707545152848,0.13762392656598135,0.07708212739626705,2906.8898305084745,2213.2542372881358,693.6355932203389
channel-24,3158.4322033898306,0.7668433528317198,0.11183053991644847,0.11587976616220826,0.06319849723237977,2838.9661016949153,2430.9745762711864,407.99152542372883
overall,2937.23125,0.8227095404144718,0.12060838188542171,0.11783414901237148,0.06444636922129326,2700.25,2343.28125,356.96875
channel-23,3031.576271186441,0.8477484457281125,0.12454256038281175,0.14391568919536443,0.08109941313198872,2794.2542372881358,2174.991525423729,619.2627118644068
channel-31,3167.728813559322,0.9206311120617993,0.13599407613922296,0.11647393503970693,0.06357787361651702,2550.8898305084745,2195.677966101695,355.2118644067797
channel-27,3088.635593220339,0.9214838732132782,0.13612806420873055,0.10216272362373334,0.05444017582515501,2650.5,2435.35593220339,215.14406779661016
channel-1,2983.898305084746,0.9368323881826829,0.13853966315058228,0.12461837870541638,0.06877809480904021,2496.8474576271187,2339.322033898305,157.52542372881356
channel-29,3143.271186440678,0.9564455688410515,0.14162133755467624,0.10867303832818334,0.058597006897437603,2442.177966101695,2308.415254237288,133.76271186440678
channel-19,2896.9830508474574,1.009079096735941,0.14989125555197172,0.10118003866188602,0.05381273221157982,2487.2203389830506,2506.5677966101694,-19.347457627118644
channel-26,2883.3813559322034,1.0099829117571215,0.15003326533943673,0.09604927605744165,0.05053674412392536,2486.1186440677966,2551.991525423729,-65.87288135593221
channel-4,3086.076271186441,1.0529463972367212,0.15678380090117666,0.23836084824633624,0.1414025765875744,2371.737288135593,1606.9406779661017,764.7966101694915
channel-0,3070.635593220339,1.0565000109629257,0.157342154013445,0.1446083260380199,0.08154166123827304,2351.135593220339,2073.737288135593,277.39830508474574
channel-16,2926.677966101695,1.097939276309034,0.1638532001087184,0.10187548235392667,0.05425677248909844,2408.7542372881358,2486.2118644067796,-77.45762711864407
channel-32,3131.8898305084745,1.2036794997641163,0.18046738144833052,0.14457877315597217,0.08152279174517656,2171.813559322034,1830.1101694915253,341.70338983050846
channel-6,3095.5677966101694,1.243885921780153,0.18678471996497517,0.14051854131970523,0.07893033675277365,2181.4491525423728,2289.101694915254,-107.65254237288136
channel-3,2992.601694915254,1.3567040900448744,0.2045110065634632,0.0735875346861331,0.036194939048663825,2040.8389830508474,3064.6525423728813,-1023.8135593220339
channel-14,2912.593220338983,1.4894135952664493,0.22536267221346118,0.12356378202035304,0.06810473561394613,1979.3559322033898,2124.330508474576,-144.97457627118644
channel-8,3063.135593220339,1.5966705967858097,0.24221517370209933,0.12445305979282995,0.06867253880693089,2097.2542372881358,2480.186440677966,-382.93220338983053
channel-10,3067.85593220339,1.624576118125009,0.24659976243055817,0.10884936714668692,0.05870959271624503,1815.2457627118645,2374.3474576271187,-559.1016949152543
channel-25,2463.0,1.6332611989629788,0.24796438511884403,0.14778381331874113,0.08356920749331315,1512.2118644067796,2068.4830508474574,-556.271186440678
channel-22,2927.9830508474574,1.6378357947948732,0.24868315761830648,0.06740039477775199,0.032244454842095635,1976.3559322033898,3195.1949152542375,-1218.8389830508474
channel-12,2837.64406779661,1.7476577744210544,0.2659386751968147,0.35158947968491405,0.213698973121861,1429.6186440677966,619.1271186440678,810.4915254237288
channel-7,3131.2203389830506,1.7489348987848816,0.2661393403276471,0.48448744896126067,0.29855422716258645,1522.2033898305085,661.4322033898305,860.771186440678
channel-33,3127.5338983050847,1.8124855631645762,0.27612458745269775,0.4378080621900945,0.2687494736023861,1295.593220338983,814.8728813559322,480.72033898305085
channel-9,3017.186440677966,1.896497672049948,0.28932479042311915,0.11117720899989024,0.06019591799943623,1366.4915254237287,2263.7796610169494,-897.2881355932203
channel-15,3056.084745762712,2.0000446902166074,0.3055943695935073,0.4663603412234436,0.2869800824221383,1059.906779661017,562.8050847457627,497.10169491525426
channel-11,3005.008474576271,2.0946771585768484,0.32046327130922975,0.09501122070481033,0.04987394655722436,1254.8135593220338,2554.169491525424,-1299.3559322033898
channel-20,2893.1186440677966,2.101823312537197,0.32158609376882535,0.20763548099418225,0.12178445256451494,1593.5762711864406,1503.2457627118645,90.33050847457628
channel-17,3173.228813559322,2.211120101133023,0.3387590919547018,0.2985158416102399,0.17981149488412132,1390.415254237288,1048.7542372881355,341.66101694915255
channel-2,2998.364406779661,2.257512152698665,0.3460483328154006,0.11386406563200083,0.061911473950593494,1165.3305084745762,2281.2881355932204,-1115.957627118644
channel-21,3035.593220338983,2.5191744489483474,0.3871613993248376,0.28201893142918977,0.16927823006508402,1256.7118644067796,1727.2118644067796,-470.5
channel-13,3025.686440677966,2.7000475112017535,0.41558064942227646,0.1452055479097256,0.0819229869569293,1283.2627118644068,2394.262711864407,-1111.0
