,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 99.5)","(100.5, 221.5)","(222.5, 287.5)","(288.5, 763.5)","(765.5, 946.5)","(947.5, 1059.5)","(1060.5, 1132.5)","(1133.5, 1178.5)","(1179.5, 1243.5)","(1244.5, 1304.5)"
"Time length, sec",91.0,121.0,65.0,475.0,181.0,112.0,72.0,45.0,64.0,60.0
Number of epochs,86,111,56,425,170,101,68,41,64,58
