,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(21.5, 154.5)","(155.5, 470.5)","(472.5, 545.5)","(546.5, 635.5)","(636.5, 997.5)","(998.5, 1044.5)","(1045.5, 1118.5)","(1119.5, 1233.5)","(1234.5, 1451.5)"
"Time length, sec",133.0,315.0,73.0,89.0,361.0,46.0,73.0,114.0,217.0
Number of epochs,121,294,70,89,342,41,73,110,203
