,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 237.5)","(238.5, 411.5)","(412.5, 625.5)","(626.5, 1110.5)","(1111.5, 1316.5)","(1317.5, 1415.5)","(1416.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",227.0,173.0,213.0,484.0,205.0,98.0,685.0,243.0
Number of epochs,201,147,184,411,167,90,595,222
