,0,1,2,3,4,5,6
"Start-end time, sec","(11.5, 198.5)","(199.5, 277.5)","(278.5, 506.5)","(507.5, 620.5)","(621.5, 706.5)","(707.5, 861.5)","(862.5, 976.5)"
"Time length, sec",187.0,78.0,228.0,113.0,85.0,154.0,114.0
Number of epochs,181,79,219,109,79,147,108
