,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 232.5)","(233.5, 411.5)","(412.5, 593.5)","(596.5, 996.5)","(997.5, 1321.5)","(1323.5, 1761.5)","(1762.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",222.0,178.0,181.0,400.0,324.0,438.0,339.0,243.0
Number of epochs,197,151,159,336,272,381,299,222
