,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 47.5)","(48.3, 222.7)","(225.1, 259.5)","(260.3, 449.9)","(450.7, 509.9)","(510.7, 620.3)","(621.1, 717.1)","(719.5, 877.1)","(877.9, 938.7)"
"Time length, sec",37.6,174.39999999999998,34.400000000000006,189.59999999999997,59.19999999999999,109.59999999999997,96.0,157.60000000000002,60.80000000000007
Number of epochs,43,196,38,209,72,124,113,181,70
