,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 98.5)","(99.5, 219.5)","(220.5, 816.5)","(817.5, 949.5)","(950.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1319.5)"
"Time length, sec",93.0,120.0,596.0,132.0,109.0,95.0,82.0,80.0
Number of epochs,90,116,568,126,98,96,77,78
