,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 677.5)","(678.5, 851.5)","(852.5, 1171.5)","(1172.5, 1284.5)","(1285.5, 1502.5)","(1503.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,239.0,173.0,319.0,112.0,217.0,541.0,300.0
Number of epochs,372,203,145,275,90,190,471,271
